BirdID,TOC,TrialType,trainWindImage,shownWindImage,Speed,Number,Number2,Group,Date,Time,FirstPeck,TimeToPeck,SuccFail,DotType,leftRight_i,leftRight_o,TargetX_i,TargetY_i,TargetX_o,TargetY_o,TargetSize,TargetAngle_i,TargetAngle_o,RadiusCentre_i,RadiusCentre_o,TurbineAngle,Blade1Angle,Blade2Angle,Blade3Angle,dotCol,timeOutTime,frames,screenWidth,screenHeight,TargetPeckedX,TargetPeckedY,TargetPeckedAngle,TargetPeckedLR,NovelBlade,ShowOrder,TreatmentOrder,Weird,Exclude,Comments
24G03,1,5_Comparative_Experiment,White,Black,20,1,1,0,2/13/2024,NA,NA,NA,Fail,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,512,731.4286,NA,NA,NA,NA,0.447214 0.447214 0.447214,120,NA,2560,1440,NA,NA,NA,NA,Novel,1,1,0,0,NA
24G03,1,5_Comparative_Experiment,White,Black,20,1.5,2,0,2/13/2024,NA,NA,NA,Fail,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,512,731.4286,NA,NA,NA,NA,0.447214 0.447214 0.447214,120,NA,2560,1440,NA,NA,NA,NA,Novel,1,1,0,0,NA
24G03,1,5_Comparative_Experiment,White,White,20,2,3,0,2/13/2024,13:23:12,first,8.9183,Succ,out,right,right,1714,991,1975,491,58,0.55882,-0.31816,512,731.4286,142.8182,237.8182,357.8182,117.8182,0.447214 0.447214 0.447214,120,1471,2560,1440,1975,491,89.68184,right,Train,2,1,0,0,NA
24G03,1,5_Comparative_Experiment,White,Red,20,3,5,0,2/13/2024,NA,NA,NA,Fail,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,512,731.4286,NA,NA,NA,NA,0.447214 0.447214 0.447214,120,NA,2560,1440,NA,NA,NA,NA,Novel,3,1,0,0,NA
24G03,1,5_Comparative_Experiment,White,Red,20,3.5,6,0,2/13/2024,NA,NA,NA,Fail,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,512,731.4286,NA,NA,NA,NA,0.447214 0.447214 0.447214,120,NA,2560,1440,NA,NA,NA,NA,Novel,3,1,0,0,NA
24G03,1,5_Comparative_Experiment,White,Bio,20,4,7,0,2/13/2024,NA,NA,NA,Fail,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,512,731.4286,NA,NA,NA,NA,0.447214 0.447214 0.447214,120,NA,2560,1440,NA,NA,NA,NA,Novel,4,1,0,0,NA
24G03,1,5_Comparative_Experiment,White,Bio,20,4.5,8,0,2/13/2024,NA,NA,NA,Fail,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,512,731.4286,NA,NA,NA,NA,0.447214 0.447214 0.447214,120,NA,2560,1440,NA,NA,NA,NA,Novel,4,1,0,0,NA
24G03,1,5_Comparative_Experiment,White,Red,20,5,9,1,13/02/2024,14:30:54,first,21.397,Succ,out,left,right,781,835,1983,922,58,2.9141,0.2797,512,731.4286,312.5455,47.5455,167.5455,287.5455,0.447214 0.447214 0.447214,120,3529,2560,1440,1983,922,90.2797,right,Novel,5,2,0,0,NA
24G03,1,5_Comparative_Experiment,White,Red,20,5.5,10,1,13/02/2024,14:33:04,second,97.8288,Succ,in,left,right,781,835,1983,922,58,2.9141,0.2797,512,731.4286,122,217,337,97,0.447214 0.447214 0.447214,120,16136,2560,1440,781,835,92.9141,left,Novel,5,2,0,0,NA
24G03,1,5_Comparative_Experiment,White,Bio,20,6,11,1,2/13/2024,NA,NA,NA,Fail,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,512,731.4286,NA,NA,NA,NA,0.447214 0.447214 0.447214,120,NA,2560,1440,NA,NA,NA,NA,Novel,6,2,0,0,NA
24G03,1,5_Comparative_Experiment,White,Bio,20,6.5,12,1,2/13/2024,NA,NA,NA,Fail,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,512,731.4286,NA,NA,NA,NA,0.447214 0.447214 0.447214,120,NA,2560,1440,NA,NA,NA,NA,Novel,6,2,0,0,NA
24G03,1,5_Comparative_Experiment,White,Black,20,7,13,1,2/13/2024,14:36:35,first,4.4577,Succ,out,right,right,1757,533,1988,905,58,-0.37303,0.25593,512,731.4286,333.5455,68.5455,188.5455,308.5455,0.447214 0.447214 0.447214,120,735,2560,1440,1988,905,90.25593,right,Novel,7,2,0,0,NA
24G03,1,5_Comparative_Experiment,White,Black,20,7.5,14,1,2/13/2024,14:38:16,second,50.2546,Succ,in,right,right,1757,533,1988,905,58,-0.37303,0.25593,512,731.4286,29.3636,124.3636,244.3636,4.3636,0.447214 0.447214 0.447214,120,8288,2560,1440,1757,533,89.62697,right,Novel,7,2,0,0,NA
24G03,1,5_Comparative_Experiment,White,White,20,8,15,1,2/13/2024,14:38:59,first,2.5655,Succ,out,right,right,1791,749,1977,942,58,0.055994,0.30897,512,731.4286,337,72,192,312,0.447214 0.447214 0.447214,120,423,2560,1440,1977,942,90.30897,right,Train,8,2,0,0,NA
24G03,1,5_Comparative_Experiment,White,White,20,8.5,16,1,2/13/2024,14:39:47,second,2.4551,Succ,in,right,right,1791,749,1977,942,58,0.055994,0.30897,512,731.4286,49.5455,144.5455,264.5455,24.5455,0.447214 0.447214 0.447214,120,404,2560,1440,1791,749,90.055994,right,Train,8,2,0,0,NA
24G03,1,5_Comparative_Experiment,White,Black,20,9,17,2,13/02/2024,15:10:33,first,5.8812,Succ,out,right,right,1749,926,2008,794,58,0.41502,0.10129,512,731.4286,203.4545,298.4545,58.4545,178.4545,0.447214 0.447214 0.447214,120,970,2560,1440,2008,794,90.10129,right,Novel,9,3,0,0,NA
24G03,1,5_Comparative_Experiment,White,Black,20,9.5,18,2,13/02/2024,15:11:09,second,2.4801,Succ,in,right,right,1749,926,2008,794,58,0.41502,0.10129,512,731.4286,97.4545,192.4545,312.4545,72.4545,0.447214 0.447214 0.447214,120,408,2560,1440,1749,926,90.41502,right,Novel,9,3,0,0,NA
24G03,1,5_Comparative_Experiment,White,Red,20,10,19,2,13/02/2024,15:11:58,first,3.79,Succ,out,left,right,768,738,1964,461,58,3.1067,-0.36238,512,731.4286,192,287,47,167,0.447214 0.447214 0.447214,120,625,2560,1440,1964,461,89.63762,right,Novel,10,3,0,0,NA
24G03,1,5_Comparative_Experiment,White,Red,20,10.5,20,2,13/02/2024,15:12:53,second,15.0415,Succ,in,left,right,768,738,1964,461,58,3.1067,-0.36238,512,731.4286,282.3636,17.3636,137.3636,257.3636,0.447214 0.447214 0.447214,120,2480,2560,1440,768,738,93.1067,left,Novel,10,3,0,0,NA
