BirdID,TrialType,trainWindImage,Speed,Number,Date,Time,InOut,LeftRight,TimeToPeck,SuccFail,TargetX,TargetY,TargetSize,TargetAngle,RadiusCentre,TurbineAngle,Blade1Angle,Blade2Angle,Blade3Angle,dotCol,timeOutTime,frames,screenWidth,screenHeight
24G03,0_Static,White,0,1,09/02/2024,10:13:00,in,left,4.18E+01,Succ,849,997,58,2.5709,512,120,215,335,95,0.447214 0.447214 0.447204,120,NA,2560,1440
24G03,0_Static,White,0,2,09/02/2024,10:15:00,out,left,7.00E+00,Succ,551,776,58,3.0647,731.4286,120,215,335,95,0.447214 0.447214 0.447205,120,NA,2560,1440
24G03,0_Static,White,0,3,09/02/2024,10:16:00,out,left,2.50E+01,Succ,549,701,58,3.1673,731.4286,120,215,335,95,0.447214 0.447214 0.447206,120,NA,2560,1440
24G03,0_Static,White,0,4,09/02/2024,10:17:00,in,right,3.97E+00,Succ,1726,469,58,-0.51224,512,120,215,335,95,0.447214 0.447214 0.447207,120,NA,2560,1440
24G03,0_Static,White,0,5,09/02/2024,10:27:00,out,right,1.66E+01,Succ,1901,1107,58,0.55761,731.4286,15,110,230,350,0.447214 0.447214 0.447208,120,NA,2560,1440
24G03,0_Static,White,0,6,09/02/2024,10:28:00,out,right,9.34E+00,Succ,1897,1113,58,0.56704,731.4286,15,110,230,350,0.447214 0.447214 0.447209,120,NA,2560,1440
24G03,0_Static,White,0,7,09/02/2024,10:29:00,in,right,3.29E+00,Succ,1788,654,58,-0.12991,512,15,110,230,350,0.447214 0.447214 0.447210,120,NA,2560,1440
24G03,0_Static,White,0,8,09/02/2024,10:30:00,in,left,4.34E+00,Succ,859,1012,58,2.5352,512,15,110,230,350,0.447214 0.447214 0.447211,120,NA,2560,1440
24G03,0_Static,White,0,9,09/02/2024,10:51:00,out,right,1.52E+01,Succ,1989,541,58,-0.24717,731.4286,15,110,230,350,0.447214 0.447214 0.447212,120,NA,2560,1440
24G03,0_Static,White,0,10,09/02/2024,10:52:00,in,right,4.86E+00,Succ,1724,976,58,0.52288,512,15,110,230,350,0.447214 0.447214 0.447213,120,NA,2560,1440
24G03,0_Static,White,0,11,12/02/2024,14:20:00,in,right,NA,Fail,1757,534,58,9.6276,512,152,247,7,127,0.447214 0.447214 0.447214,120,NA,2560,1440
24G03,0_Static,White,0,12,12/02/2024,14:23:00,in,left,NA,Fail,804,531,58,13.5194,512,152,247,7,127,0.447214 0.447214 0.447214,120,19792,2560,1440
24G03,0_Static,White,0,13,12/02/2024,14:24:00,out,right,5.13E+01,Succ,1947,419,58,9.5765,731.4286,152,247,7,127,0.447214 0.447214 0.447214,120,8455,2560,1440
24G03,0_Static,White,0,14,12/02/2024,14:26:00,out,right,2.22E+01,Succ,1975,949,58,10.3182,731.4286,152,247,7,127,0.447214 0.447214 0.447214,120,3665,2560,1440
24G03,0_Static,White,0,15,12/02/2024,14:26:00,in,right,9.00E+00,Succ,1757,905,58,10.3702,512,152,247,7,127,0.447214 0.447214 0.447214,120,1480,2560,1440
24G03,0_Static,White,0,16,13/02/2024,09:27:16,out,right,1.17E+01,Succ,1991,547,58,-0.23832,731.4286,83,178,298,58,0.447214 0.447214 0.447214,120,1934,2560,1440
24G03,0_Static,White,0,17,13/02/2024,09:28:10,in,left,8.25E+00,Succ,792,876,58,2.8321,512,83,178,298,58,0.447214 0.447214 0.447214,120,1361,2560,1440
24G03,0_Static,White,0,18,13/02/2024,09:29:12,in,left,4.32E+00,Succ,802,536,58,3.5102,512,83,178,298,58,0.447214 0.447214 0.447214,120,713,2560,1440
24G03,0_Static,White,0,19,13/02/2024,09:29:54,in,right,1.97E+00,Succ,1764,552,58,-0.33425,512,83,178,298,58,0.447214 0.447214 0.447214,120,325,2560,1440
24G03,1_Slow,White,2.5,1,09/02/2024,11:18:00,in,left,NA,Fail,794,560,58,3.4604,512,163.4545,258.4545,18.4545,138.4545,0.447214 0.447214 0.447214,120,NA,2560,1440
24G03,1_Slow,White,2.5,2,09/02/2024,11:21:00,out,left,NA,Fail,656,1102,58,2.5924,731.4286,162.9091,257.9091,17.9091,137.9091,0.447214 0.447214 0.447214,120,NA,2560,1440
24G03,1_Slow,White,2.5,3,09/02/2024,11:23:00,in,right,1.57E+01,Succ,1790,672,58,-0.093723,512,37.9091,132.9091,252.9091,12.9091,0.447214 0.447214 0.447214,120,NA,2560,1440
24G03,1_Slow,White,2.5,4,09/02/2024,11:25:00,out,right,9.92E+00,Succ,1986,913,58,0.26658,731.4286,186.7273,281.7273,41.7273,161.7273,0.447214 0.447214 0.447214,120,NA,2560,1440
24G03,1_Slow,White,2.5,5,09/02/2024,11:28:00,out,left,7.57E+01,Succ,610,1013,58,2.7297,731.4286,242.1818,337.1818,97.1818,217.1818,0.447214 0.447214 0.447214,120,NA,2560,1440
24G03,1_Slow,White,2.5,6,09/02/2024,11:29:00,in,left,1.19E+01,Succ,827,959,58,2.6569,512,61,156,276,36,0.447214 0.447214 0.447214,120,NA,2560,1440
24G03,1_Slow,White,2.5,7,09/02/2024,11:30:00,in,left,2.51E+01,Succ,768,735,58,3.112,512,78.0909,173.0909,293.0909,53.0909,0.447214 0.447214 0.447214,120,NA,2560,1440
24G03,1_Slow,White,2.5,8,09/02/2024,11:32:00,out,right,3.26E+00,Succ,1993,881,58,0.22257,731.4286,127,222,342,102,0.447214 0.447214 0.447214,120,NA,2560,1440
24G03,1_Slow,White,2.5,9,09/02/2024,11:34:00,in,left,3.64E+01,Succ,771,778,58,3.0283,512,312.2727,47.2727,167.2727,287.2727,0.447214 0.447214 0.447214,120,NA,2560,1440
24G03,1_Slow,White,2.5,10,09/02/2024,11:37:00,out,left,2.02E+01,Succ,549,709,58,3.1565,731.4286,244.6364,339.6364,99.6364,219.6364,0.447214 0.447214 0.447214,120,NA,2560,1440
24G03,1_Slow,White,2.5,11,09/02/2024,11:42:00,out,left,1.13E+01,Succ,552,794,58,3.0408,731.4286,303.1818,38.1818,158.1818,278.1818,0.447214 0.447214 0.447214,120,NA,2560,1440
24G03,1_Slow,White,2.5,12,09/02/2024,11:43:00,in,left,1.51E+01,Succ,774,798,58,2.988,512,168.9091,263.9091,23.9091,143.9091,0.447214 0.447214 0.447214,120,NA,2560,1440
24G03,1_Slow,White,2.5,13,12/02/2024,14:29:00,out,left,6.81E+01,Succ,586,489,58,3.463,731.4286,259.7273,354.7273,114.7273,234.7273,0.447214 0.447214 0.447214,120,11239,2560,1440
24G03,1_Slow,White,2.5,14,13/02/2024,14:30,in,right,1.97E+01,Succ,1788,787,58,10.1305,512,195.1818,290.1818,50.1818,170.1818,0.447214 0.447214 0.447214,120,3250,2560,1440
24G03,1_Slow,White,2.5,15,13/02/2024,09:31:36,out,right,3.83E+00,Succ,1939,402,58,-0.44999,731.4286,53.4545,148.4545,268.4545,28.4545,0.447214 0.447214 0.447214,120,632,2560,1440
24G03,1_Slow,White,2.5,16,13/02/2024,09:33:24,out,left,2.91E+01,Succ,550,763,58,3.0829,731.4286,130.2727,225.2727,345.2727,105.2727,0.447214 0.447214 0.447214,120,4805,2560,1440
24G03,1_Slow,White,2.5,17,13/02/2024,09:34:57,in,right,1.69E+01,Succ,1756,532,58,-0.37579,512,23.1818,118.1818,238.1818,358.1818,0.447214 0.447214 0.447214,120,2782,2560,1440
24G03,1_Slow,White,2.5,18,13/02/2024,09:36:57,in,right,4.55E+00,Succ,1789,773,58,10.1039,512,91.3636,186.3636,306.3636,66.3636,0.447214 0.447214 0.447214,120,750,2560,1440
24G03,2_Medium,White,5,1,12/02/2024,13:27:00,in,left,NA,Fail,777,622,58,3.3337,512,279.3636,14.3636,134.3636,254.3636,0.447214 0.447214 0.447214,120,19792,2560,1440
24G03,2_Medium,White,5,2,13/02/2024,13:30:00,out,right,NA,Fail,2010,758,58,0.051668,731.4286,277.5455,12.5455,132.5455,252.5455,0.447214 0.447214 0.447214,120,19791,2560,1440
24G03,2_Medium,White,5,3,14/02/2024,13:33:00,out,right,NA,Fail,1945,416,58,-0.42869,731.4286,276.0909,11.0909,131.0909,251.0909,0.447214 0.447214 0.447214,120,19793,2560,1440
24G03,2_Medium,White,5,4,15/02/2024,13:36:00,out,left,NA,Fail,665,325,58,13.7124,731.4286,274.0909,9.0909,129.0909,249.0909,0.447214 0.447214 0.447214,120,19790,2560,1440
24G03,2_Medium,White,5,5,16/02/2024,14:59:00,out,right,3.48E+01,Succ,1913,354,58,-0.52428,731.4286,307.8182,42.8182,162.8182,282.8182,0.447214 0.447214 0.447214,120,5741,2560,1440
24G03,2_Medium,White,5,6,17/02/2024,15:03:00,in,left,NA,Fail,771,772,58,3.039,512,306.3636,41.3636,161.3636,281.3636,0.447214 0.447214 0.447214,120,19793,2560,1440
24G03,2_Medium,White,5,7,18/02/2024,15:06:00,in,right,8.25E+01,Succ,1751,519,58,-0.40397,512,260,355,115,235,0.447214 0.447214 0.447214,120,13605,2560,1440
24G03,2_Medium,White,5,8,19/02/2024,15:10:00,in,right,NA,Fail,1754,913,58,10.3862,512,258.1818,353.1818,113.1818,233.1818,0.447214 0.447214 0.447214,120,19791,2560,1440
24G03,2_Medium,White,5,9,20/02/2024,15:14:00,out,left,NA,Fail,669,318,58,3.7234,731.4286,256.7273,351.7273,111.7273,231.7273,0.447214 0.447214 0.447214,120,19793,2560,1440
24G03,2_Medium,White,5,10,21/02/2024,15:17:00,out,right,NA,Fail,2007,638,58,9.8874,731.4286,254.5455,349.5455,109.5455,229.5455,0.447214 0.447214 0.447214,120,19789,2560,1440
24G03,2_Medium,White,5,11,22/02/2024,15:42:00,in,left,NA,Fail,824,953,58,2.6697,512,253.8182,348.8182,108.8182,228.8182,0.447214 0.447214 0.447214,120,19797,2560,1440
24G03,2_Medium,White,5,12,23/02/2024,15:47:00,in,left,NA,Fail,769,694,58,3.193,512,255.4545,350.4545,110.4545,230.4545,0.447214 0.447214 0.447214,120,19810,2560,1440
24G03,2_Medium,White,5,13,24/02/2024,15:51:00,in,left,NA,Fail,792,876,58,2.8317,512,257.0909,352.0909,112.0909,232.0909,0.447214 0.447214 0.447214,120,19810,2560,1440
24G03,2_Medium,White,5,14,25/02/2024,15:56:00,out,left,NA,Fail,601,993,58,2.7598,731.4286,258.7273,353.7273,113.7273,233.7273,0.447214 0.447214 0.447214,120,19810,2560,1440
24G03,2_Medium,White,5,15,13/02/2024,09:44:17,in,right,1.49E+01,Succ,1781,826,58,0.20843,512,172.6364,267.6364,27.6364,147.6364,0.447214 0.447214 0.447214,120,2462,2560,1440
24G03,2_Medium,White,5,16,13/02/2024,09:47:47,out,left,NA,Fail,549,728,58,3.1302,731.4286,174.2727,269.2727,29.2727,149.2727,0.447214 0.447214 0.447214,120,19810,2560,1440
24G03,2_Medium,White,5,17,13/02/2024,09:48:58,in,left,2.92E+01,Succ,773,793,58,2.9981,512,330.4545,65.4545,185.4545,305.4545,0.447214 0.447214 0.447214,120,4819,2560,1440
24G03,2_Medium,White,5,18,13/02/2024,09:50:51,in,left,4.35E+01,Succ,799,544,58,3.4927,512,196.6364,291.6364,51.6364,171.6364,0.447214 0.447214 0.447214,120,7184,2560,1440
24G03,2_Medium,White,5,19,13/02/2024,09:53:03,out,right,1.71E+01,Succ,1910,1091,58,0.53239,731.4286,349.1818,84.1818,204.1818,324.1818,0.447214 0.447214 0.447214,120,2819,2560,1440
24G03,2_Medium,White,5,20,13/02/2024,09:56:05,in,left,4.41E+01,Succ,828,960,58,2.6531,512,233,328,88,208,0.447214 0.447214 0.447214,120,7281,2560,1440
24G03,2_Medium,White,5,21,13/02/2024,09:58:39,out,left,2.76E+01,Succ,549,744,58,3.1087,731.4286,340.0909,75.0909,195.0909,315.0909,0.447214 0.447214 0.447214,120,4549,2560,1440
24G03,2_Medium,White,5,22,13/02/2024,10:44:30,out,right,7.42E+00,Succ,2001,841,58,0.16595,731.4286,64.5455,159.5455,279.5455,39.5455,0.447214 0.447214 0.447214,120,1224,2560,1440
24G03,3_Fast,White,10,1,13/02/2024,10:47:41,in,left,1.38E+01,Succ,768,734,58,3.1134,512,162.7273,257.7273,17.7273,137.7273,0.447214 0.447214 0.447214,120,2268,2560,1440
24G03,3_Fast,White,10,2,13/02/2024,10:49:08,in,left,3.76E+01,Succ,794,559,58,3.4614,512,258.7273,353.7273,113.7273,233.7273,0.447214 0.447214 0.447214,120,6204,2560,1440
24G03,3_Fast,White,10,3,13/02/2024,10:50:28,out,left,2.72E+01,Succ,647,1086,58,12.6182,731.4286,91.0909,186.0909,306.0909,66.0909,0.447214 0.447214 0.447214,120,4489,2560,1440
24G03,3_Fast,White,10,4,13/02/2024,10:51:21,in,right,6.57E+00,Succ,1732,960,58,0.48826,512,124.9091,219.9091,339.9091,99.9091,0.447214 0.447214 0.447214,120,1083,2560,1440
24G03,3_Fast,White,10,5,13/02/2024,10:55:14,in,right,NA,Fail,1792,737,58,0.032818,512,122.7273,217.7273,337.7273,97.7273,0.447214 0.447214 0.447214,120,19795,2560,1440
24G03,3_Fast,White,10,6,13/02/2024,10:56:37,out,right,1.77E+01,Succ,2000,849,58,0.17768,731.4286,103.8182,198.8182,318.8182,78.8182,0.447214 0.447214 0.447214,120,2918,2560,1440
24G03,3_Fast,White,10,7,13/02/2024,10:58:35,out,left,8.68E+00,Succ,568,887,58,2.9114,731.4286,264.1818,359.1818,119.1818,239.1818,0.447214 0.447214 0.447214,120,1431,2560,1440
24G03,3_Fast,White,10,8,13/02/2024,11:01:15,in,left,1.53E+01,Succ,785,590,58,13.3984,512,99.4545,194.4545,314.4545,74.4545,0.447214 0.447214 0.447214,120,2517,2560,1440
24G03,3_Fast,White,10,9,13/02/2024,11:03:47,out,left,4.20E+01,Succ,553,635,58,3.2577,731.4286,95.8182,190.8182,310.8182,70.8182,0.447214 0.447214 0.447214,120,6920,2560,1440
24G03,3_Fast,White,10,10,13/02/2024,11:06:51,in,right,1.77E+01,Succ,1771,574,58,-0.29016,512,78.7273,173.7273,293.7273,53.7273,0.447214 0.447214 0.447214,120,2923,2560,1440
24G03,3_Fast,White,10,11,13/02/2024,11:08:23,out,left,2.36E+01,Succ,632,1059,58,2.6598,731.4286,55.4545,150.4545,270.4545,30.4545,0.447214 0.447214 0.447214,120,3896,2560,1440
24G04,0_Static,Red,0,1,15/02/2024,11:29:36,out,right,1.20E+00,Succ,1976,946,58,18.0318,731.4286,101,196,316,76,0.447214 0.447214 0.447214,120,196,2560,1440
